코드 번호,회사명,업종 (대),업종 (소),코스피코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%),3년 등락률 (%),과거 GP/A (%),과거 GPM (%),분기 GPM (%),5년평균 OPM,발표 OPM (%),발표 분기 OPM (%),올해 OPM (%),발표 NPM (%),발표 분기 NPM (%),5년평균 ROE,발표 ROE (%),1년후 ROE (%),과거 ROA (%),1년후 ROA (%),과거 PCR,과거 PFCR,과거 PSR,발표 PSR,1년후PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,1년후 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,올해 PER,1년후 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장률 (%),시가 배당률 고점,시가 배당률 저점,국채시가 배당률,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,예상가 괴리율 (%),목표가  괴리율 (%),예상가 매력등수,목표가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,관리 종목 =1,예상 주가 (원),목표 주가 (원),20년 2Q 호실적 100기업,20년3Q 호실적예상 100기업,3Q 발표 =1,마지막 리포트일,실적 발표일,20/3Q 매출액 컨센대비,20/3Q 영업이익 컨센대비,20/3Q 순이익 컨센대비,20/2Q 매출액 컨센대비,20/2Q 영업이익 컨센대비,20/2Q 순이익 컨센대비,1주일 어닝스,1달 어닝스,3개월  어닝스,6개월  어닝스,9개월  어닝스,12개월  어닝스,어닝스 점수,발표OPM증가율(최근분기),발표NPM증가율(최근분기),발표ROE증가율 (최근분기),자산증가율 (최근분기),발표자본증가율 (최근분기),자본증가율 (1년후),매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익률증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 16년->19년 3년간 YOY,매출액 연환산 YOY,매출액 17년 YOY,매출액 18년 YOY,매출액 19년 YOY,매출액 20년(E)  YOY,매출액 21년(E)  YOY,매출액 19년3Q YOY,매출액 19년4Q YOY,매출액 20년1Q YOY,매출액 20년2Q YOY,매출액 20년3Q(E) YOY,매출액 20년4Q(E) YOY,매출액 19년3Q QOQ,매출액 19년4Q QOQ,매출액 20년1Q QOQ,매출액 20년2Q QOQ,매출액 20년3Q(E) QOQ,매출액 20년4Q(E) QOQ,영업이익 16년->19년 3년간 YOY,영업이익 연환산 YOY,영업이익 17년 YOY,영업이익 18년 YOY,영업이익 19년 YOY,영업이익 20년(E)  YOY,영업이익 21년(E)  YOY,영업이익 19년3Q YOY,영업이익 19년4Q YOY,영업이익 20년1Q YOY,영업이익 20년2Q YOY,영업이익 20년3Q(E) YOY,영업이익 20년4Q(E) YOY,영업이익 19년3Q QOQ,영업이익 19년4Q QOQ,영업이익 20년1Q QOQ,영업이익 20년2Q QOQ,영업이익 20년3Q(E) QOQ,영업이익 20년4Q(E) QOQ,순이익 16년->19년 3년간 YOY,순이익 연환산 YOY,순이익 17년 YOY,순이익 18년 YOY,순이익 19년 YOY,순이익 20년(E)  YOY,순이익 21년(E)  YOY,순이익 19년3Q YOY,순이익 19년4Q YOY,순이익 20년1Q YOY,순이익 20년2Q YOY,순이익 20년3Q(E) YOY,순이익 20년4Q(E) YOY,순이익 19년3Q QOQ,순이익 19년4Q QOQ,순이익 20년1Q QOQ,순이익 20년2Q QOQ,순이익 20년3Q(E) QOQ,순이익 20년4Q(E) QOQ,16년 매출액,16년 영업이익,16년 순이익,17년 매출액,17년 영업이익,17년 순이익,18년 매출액,18년 영업이익,18년 순이익,19년 매출액,19년 영업이익,19년 순이익,20년(E) 매출액,20년(E) 영업이익,20년(E) 순이익,21년(E) 매출액,21년(E) 영업이익,21년(E) 순이익,매출액 18년 3Q,매출액 18년 4Q,매출액 19년 1Q,매출액 19년 2Q,매출액 19년 3Q,매출액 19년 4Q,매출액 20년 1Q,매출액 20년 2Q,매출액 20년 3Q(E),매출액 20년 4Q(E),영업이익 18년 3Q,영업이익 18년 4Q,영업이익 19년 1Q,영업이익 19년 2Q,영업이익 19년 3Q,영업이익 19년 4Q,영업이익 20년 1Q,영업이익 20년 2Q,영업이익 20년 3Q(E),영업이익 20년 4Q(E),순이익 18년 3Q,순이익 18년 4Q,순이익 19년 1Q,순이익 19년 2Q,순이익 19년 3Q,순이익 19년 4Q,순이익 20년 1Q,순이익 20년 2Q,순이익 20년 3Q(E),순이익 20년 4Q(E),발표치 20년3Q  매출액,발표치 20년3Q  영업이익,발표치 20년3Q  순이익,컨센서스 20년3Q  매출액,컨센서스 20년3Q  영업이익,컨센서스 20년3Q  순이익,
A032960,동일기연,IT 장비 및 소재,IT 소재 및 부품,코스닥,11000,375,341,21,6.2,0.3,-2.7,-3.1,0,16.3,1.9,-2.7,-8.1,-16,17.1,40.5,48.96,2.9,-1.2,-6.8,0,5.6,16.82,6.1,2.63,0,2.37,0,34.87,46.88,1.5,1.5,0,19.02,2.52,0.61,1.16,0.71,0.71,18.4,25.13,56.9,26.79,8.17,0,0,9.38,201.61,-125,94.93,623,836.27,14,14,5,6.5,0.53,13.88,0.61,0.42,0.53,0.02643,0.30493,71,520,427,109,91,0,591,250,-3,14,14,101,12,24,-3,4,58,1.97,2.84,3.66,-30.47,-46.06,11000,9460,10800,11300,11964,12400,9120,0,0,0,1,89,21,0,-0.12,-0.12,0,-0.29,-0.29,-0.02,0.64,0.62,0.25,0.7,0.95,0.27,0.55,0.82,28,116,4.39804,-1081,0,1321,462,1,0,0,0,0,-1018,0,0,0,1,0,20201116,0,0,0,0,0,0,0,0,0,0,0,0,0,-303.4,14.5,-4,4.7,2.8,0,50,268,8,1,1,1,1,0,0,0,1,0,5,2.5,-13.6,21.6,-21.8,7.8,0,0,0,0,-14.9,-33,1.1,0,-23.2,-10,2.8,-5.9,16,0,-18.2,-275.4,118.2,-158.3,164.3,0,0,125.3,66.3,-82.9,-52.3,-2309.5,0,-98,-1914.3,109.4,1316.7,-191,0,-50.9,-1.2,26.3,-102.8,1500,0,0,210.9,140.7,-128.2,-81.3,176,0,-51.2,-1.2,-179.6,148.6,622,0,283,11,57,344,24,72,269,-14,-2,290,9,28,0,0,0,0,0,0,67,61,73,88,68,61,62,59,68,0,-1,-11,2,11,0,-4,0,5,-5,0,-4,-10,12,9,4,4,-3,2,11,0,68,-5,11,0,0,0,
A084870,TBH글로벌,섬유 및 의류,의류,코스피,1880,392,2086,0,0,0,-0.3,0.5,4.7,11.9,-11.3,-4.1,-32.4,-76.8,62.59,56.5,59.68,1.7,-1.72,-10.83,0,-47.64,3.81,-21.6,-81.47,0,-50.57,0,5.95,5.94,0.2,0.21,0,-0.16,2.94,0.23,0.74,0.36,0.36,-4.6,-0.44,-0.37,-0.44,7.57,0,0,0,-22.67,-12.25,26.28,50,169.37,87,63,42,0,0,-100,0.7,0,0,0.04946,0.82394,679,1077,782,549,294,111,1756,1864,-32,-888,-17,1100,66,-21,-47,0,0,0.73,0.8,1.16,-8.66,-36.94,1795,1680,2120,1960,2780,2945,993,1,0,1,1,64,89,0,-0.02,-0.02,-0.01,-0.05,-0.06,0.01,0.4,0.41,-0.04,0.41,0.37,-0.01,-0.78,-0.79,12,157,-1.04027,-4,0,2170,462,1,0,0,0,0,-48690,0,0,0,1,20191113,20201116,0,0,0,0,0,0,0,0,0,0,0,0,0,90,-193.2,-146.9,-30.2,-35.2,0,40,255,66,0,1,0,1,0,0,1,1,1,5,-70.8,271.6,-3.8,-69.9,1,0,0,-66.9,126,-23.1,-9.5,-19.3,0,-23.4,56.6,-44.3,35.5,-31.7,0,-64.5,-117.2,64.5,-105.9,466.7,0,0,87.4,-73.4,-603.2,-19.6,-65.7,0,-190.7,331.7,-228.7,129.8,-286.8,0,-2569,-60,65.5,-5660,-34.4,0,0,-28.4,-57.5,-3443.8,-2189.6,107.8,0,-6506.4,-263,59.3,76.5,122.6,0,7223,124,-29,6945,204,-10,2088,-12,-576,2108,44,-774,0,0,0,0,0,0,1271,-2534,477,550,421,660,367,497,340,0,-176,193,-9,25,-22,51,-66,20,-37,0,-129,-381,-7,-3,-165,-599,-244,-57,13,0,340,-37,13,0,0,0,
A237750,피앤씨테크,유틸리티,스마트그리드,코스닥,6050,393,650,0,0,0,-0.8,-5,-0.5,5.2,-4,19.8,6.5,-28.5,8.51,26.9,25.64,7.8,5.21,-3.67,0,9,3.21,3.2,3.18,0,2.79,0,8.05,8.02,1.82,1.86,0,13.65,3.05,0.35,1.09,0.66,0.66,56.5,20.68,14.24,20.68,73.87,0,0,4.95,17.68,35.73,84.48,505,591.99,14,14,4,0,0,0,0,0,0,0.04195,1.05093,86,596,418,62,65,0,682,211,11,19,22,58,49,-27,0,0,0,3.07,3.83,4.49,-19.83,-31.62,6080,5750,6300,5050,5680,7600,2620,0,0,0,0,80,131,0,-0.05,-0.05,-0.66,0.33,-0.34,-0.53,1.77,1.24,-2.6,-0.91,-3.51,-2.8,0.81,-1.99,22,189,1.27984,309,0,853,462,1,0,0,0,0,1959,0,0,0,1,0,20201113,0,0,0,0,0,0,0,0,0,0,0,0,0,-43.2,-29.4,-28.3,-1.6,-1.6,0,51,148,49,1,1,1,1,0,1,1,1,0,7,-23.8,-0.2,6,-23.5,-6.1,0,0,-19.7,4.8,34,-14.7,-9.6,0,-37.9,25.4,-13.9,27.1,-34.1,0,-59.6,-43.3,-15.8,-62.5,27.8,0,0,33,33.5,351.5,-63.8,-116,0,-43.9,-169.8,299.2,-53.7,-124.8,0,-44,-29.4,-24,-39.5,21.7,0,0,88,16.2,169.2,-48.5,-87,0,-40.9,-144.2,388.2,-31.5,-85.1,0,281,57,50,298,48,38,228,18,23,214,23,28,0,0,0,0,0,0,57,55,37,74,46,57,49,63,41,0,7,-10,3,17,10,-7,13,6,-2,0,5,-5,5,17,10,-5,13,9,1,0,41,-2,1,0,0,0,
A071090,하이스틸,철강 및 비철강,강관,코스피,16350,327,200,0,0,0,-2.1,2.2,8.6,2.2,-11.6,-2.4,-15.5,-31,3.13,4.6,4.91,1.4,-1.33,2.87,0,-2.16,1.41,0.2,-2.71,0,-1.42,0,4.71,5.27,0.2,0.21,0,-2.5,0.53,0.18,0.36,0.26,0.26,234.1,-9.62,-7.26,-9.62,17.73,0,0,60.71,-8.14,-15.57,-74.31,92,138.49,92,92,63,633.89,0.61,-32.75,1.67,0,0.61,0.03034,1.27305,1146,1249,903,304,72,26,2395,1575,-21,-34,12,75,69,-62,10,7,100,1.09,1.12,0.71,-2.48,54.51,15050,16000,18500,16750,19350,20150,10150,0,1,1,0,81,61,0.03,0.01,0.04,0.03,0.01,0.04,0.03,-0.41,-0.38,-0.29,-0.91,-1.2,-0.27,-1.22,-1.49,49,144,-2.55476,-83,0,1820,462,1,0,0,0,0,-19590,0,0,0,1,0,20201113,0,0,0,0,0,0,0,0,0,0,0,0,0,-704.5,-217.6,-148.9,-1.3,-3.5,0,44,71,62,0,1,0,1,0,0,1,0,0,3,43.9,-24.7,42.2,-19.5,25.7,0,0,-19.8,13.2,-41.8,-36,-14.2,0,-41.1,17,-11.8,5.4,-21.1,0,-84.5,-556.5,54.9,-147.3,121.2,0,0,-2044,34.4,70.9,-134.8,196.3,0,-122.4,-27.1,75.7,-404,161.9,0,-100,-140.3,115.4,-185.7,100,0,0,4.6,48.2,74.2,-158.1,172.5,0,-118.5,-144.7,79.8,-536.9,123.1,0,1489,71,39,2117,110,84,1705,-52,-72,2143,11,0,0,0,0,0,0,0,474,392,673,645,380,444,392,413,326,0,1,-19,-10,43,-10,-12,-3,-15,9,0,-7,-30,-12,34,-6,-16,-3,-20,5,0,326,9,5,0,0,0,
A054930,유신,건설 및 건축자재,중견건설사,코스닥,13800,414,300,0,0,0,-1.4,-2.5,3,-3.5,-18.3,-8,-27.6,15.5,10.88,9.2,14.62,-0.1,-0.91,0.17,0,0,0.15,0,0,0,0,0,2.54,2.52,0.22,0.21,0,0,0.93,0.24,0.55,0.51,0.51,1609.7,0,-470.45,0,117.61,0,0,0,-18.47,-23,59.66,151,150.71,91,92,39,0,0,-100,2.21,0,0,0.03945,1.1449,751,814,998,0,370,0,1565,1985,-18,0,-22,170,164,-40,-84,0,0,1.97,1.67,1.76,17.96,11.77,13400,14300,16900,15000,19050,21400,9070,0,0,0,0,64,52,0,0.04,0.04,0,0.13,0.13,0,0.25,0.25,-0.12,-0.63,-0.75,0.08,-1.41,-1.33,55,213,-3.6812,-199,0,1592,462,1,0,0,0,0,-6945,0,0,0,1,0,20201116,0,0,0,0,0,0,0,0,0,0,0,0,0,83.5,100,100,3.2,-1.5,0,71,0,164,0,1,0,1,0,0,1,1,1,5,9.9,23.6,-2,1.5,10.5,0,0,11.9,14.3,18.8,31.3,30.7,0,24.3,10.4,-2.9,-1.4,23.7,0,-785.7,79.6,-28.6,-880,-23.1,0,0,-136.1,-46.8,64.7,125.8,127.2,0,92.7,-588.2,72.2,283.9,-92.3,0,-464.7,100,-11.8,-593.3,16.2,0,0,-99.6,-171.4,133.3,137.2,1157.1,0,100.2,-24528.6,120.5,260.1,-93,0,1516,14,17,1485,10,15,1508,-78,-74,1666,-96,-62,0,0,0,0,0,0,391,422,394,352,437,483,469,462,572,0,10,-17,-19,-49,-4,-25,-7,13,1,0,16,-6,-11,-34,0,-17,4,13,1,0,572,1,1,0,0,0,
A140520,대창스틸,철강 및 비철강,강판,코스닥,2195,439,2000,0,0,0,-0.7,-3.1,2.3,10,0.7,2.6,-14.3,-47.8,5.1,6.2,6.58,1.3,-0.84,2.99,0,-7.26,0.06,-1.9,-13.87,0,-5.81,0,2.43,2.49,0.26,0.26,0,-1.82,0.78,0.3,0.61,0.5,0.5,-35.5,-3.63,-11.56,-3.63,457.29,0,0,259.08,-21.36,-31.36,-128.25,32,56.02,131,139,115,0,4.56,38.68,5.2,0,4.56,0.03124,1.05433,1212,872,649,274,912,38,2084,1666,-14,-121,5,107,181,83,-219,5,100,1.38,1.57,1.74,-12.19,-20.51,2145,1995,2180,2140,2560,2570,1060,0,0,0,1,85,107,0.01,-0.04,-0.03,0.01,0.03,0.04,0.01,0.16,0.17,0.01,2.14,2.15,0.01,2.1,2.11,64,167,-2.74065,-31,0,2016,462,1,0,0,0,0,-7000,0,0,0,1,0,20201116,0,0,0,0,0,0,0,0,0,0,0,0,0,-127.5,-414.9,-400.5,-17.1,-13.9,0,56,62,176,0,1,0,1,1,0,1,0,1,5,-34.7,-16.4,-19.1,-11,-9.3,0,0,-10,-3.5,-19.3,-31.9,-9.9,0,-8.1,0.9,-11.3,-17.2,21.6,0,392.9,-123.1,414.3,9.1,-14.6,0,0,5.6,-74.5,3.5,-373.4,97.2,0,-61.3,4.8,74.1,-487.5,127.9,0,79.4,-331.1,152.9,-744.4,94,0,0,794.8,21.6,128.6,-484.3,-99.7,0,1138.2,-191.4,102.3,-2750.8,100.5,0,3027,-14,-34,2448,44,18,2179,48,-116,1976,41,-7,0,0,0,0,0,0,522,492,521,511,470,474,421,348,423,0,6,26,11,17,6,7,12,-45,13,0,-12,-97,-6,-8,83,-76,2,-47,0,0,423,13,0,0,0,0,
A081580,성우전자,IT 장비 및 소재,스마트폰 부품,코스닥,2625,407,1551,30,1.9,0,0,2.3,8,18.2,25.9,2.9,-4,-41.3,4.02,4.4,6.23,2.8,-6.29,-0.45,0,-6.03,1.17,6.8,-6.78,0,-5.62,0,5.73,-18.5,0.36,0.36,0,-2.36,1.39,0.23,0.67,0.4,0.4,10,-5.79,-5.22,-5.9,26.02,0,0,4.78,-5.18,-5.65,89.43,290,312.2,21,21,13,0,0,-100,3.42,0,0,0.03895,1.0903,214,1014,578,41,85,0,1228,1145,-72,-69,31,49,71,-32,6,93,0,1.25,1.86,1.44,-32.4,-13.03,2430,2220,2085,2550,2735,3010,1280,1,1,1,1,87,105,0.01,0.02,0.03,0.01,0.12,0.13,0.01,0.42,0.43,-0.16,0.64,0.48,-0.07,0.5,0.43,29,174,-8.29569,-49,0,1947,462,1,0,0,0,0,-5373,0,0,0,1,20160324,20201116,0,0,0,0,0,0,0,0,0,0,0,0,0,-755.2,-658.3,-624.3,-8.6,-6,0,33,14,-22,0,1,0,1,1,0,1,0,0,4,-31.3,-11.8,6.3,-13.6,-25.2,0,0,-25.6,-28.5,27.3,-41.7,7.7,0,-6.6,-10.6,22.2,-42.9,72.7,0,-161.4,-676.9,3.6,-22.1,-176.1,0,0,-137,-254.8,-717,-671.7,82,0,-255.8,-363.2,63.6,-28.7,91.7,0,-145.7,-592.5,-44.2,18.1,-169.4,0,0,-114.2,-434.8,-107.8,-893.3,181.6,0,-190.3,-1080,99.5,-5753.6,123.9,0,1727,83,129,1835,86,72,1586,67,85,1187,-51,-59,0,0,0,0,0,0,417,388,267,332,311,278,339,194,334,0,22,25,-2,-2,-8,-38,-14,-18,-1,0,34,17,4,-2,-5,-57,0,-16,4,0,334,-1,4,0,0,0,
A011420,갤럭시아에스엠,미디어 및 엔터,매니지먼트,코스피,1360,375,2755,0,0,0,-1.1,-1.4,-6.8,-4.2,1.9,-5.2,-16,-55.9,8.5,9,9.3,-9.8,3.77,14.52,0,0,12.26,-16.9,0,0,0,0,9.55,9.62,1.41,1.57,0,0,2.84,1.27,1.71,1.67,1.67,-13,0,-151.21,0,14.65,0,0,17.34,56.22,41.67,14.13,253,252.51,35,29,1,0,0,0,0,0,0,0.04506,1.63183,64,218,117,0,90,0,282,239,9,0,17,24,39,-36,-19,0,0,2.42,3.02,3.17,-19.95,-23.56,1460,1420,1335,1435,1620,2165,743,0,0,0,0,63,83,0,-0.04,-0.04,0.01,0.03,0.04,0.07,0.35,0.42,0.1,0.39,0.49,0.35,-0.71,-0.36,59,131,-2.08197,0,0,2181,462,1,0,0,0,0,0,0,0,0,1,0,20201116,0,0,0,0,0,0,0,0,0,0,0,0,0,138,100,100,-12.9,-1.8,0,23,2,39,0,1,0,1,1,1,1,1,1,7,-38.3,2,-32.9,-29.5,30.5,0,0,50.6,103,-25,-17.8,-34.4,0,20.7,31.4,-73.2,93.3,-3.6,0,85.7,138.7,0,-91.4,92.5,0,0,162.1,105.2,74.4,302.6,54.4,0,420.9,-81.1,-344.1,236.6,144.5,0,12.5,100,-268.8,-171.2,91.3,0,0,144.1,96,79.9,69,66.7,0,294.9,-183.6,22.1,75.6,1149.2,0,465,-35,-16,312,-35,-59,220,-67,-160,287,-5,-14,0,0,0,0,0,0,53,51,37,66,80,105,28,54,52,0,-8,-18,-9,-2,5,1,-2,3,8,0,-9,-80,-12,-2,4,-3,-3,-1,6,0,52,8,6,0,0,0,
A085910,네오티스,기계,기계,코스닥,3860,425,1101,57,5.2,0,0.1,0.3,3.5,2,8.7,1.6,-3.3,-19,9.76,23.6,22.96,7.6,9.95,8.38,0,2.55,7.79,-3,2.43,0,1.04,0,13.21,-212.5,1.07,1.08,0,43.78,1.22,0.46,1.03,1.03,1.03,-31.7,40.29,31.2,42.5,13.66,0,0,7.2,10,10.9,-19.53,96,110.91,134,138,97,192.99,6.48,-19.58,9.67,2.83,6.48,0.02233,0.6822,557,404,474,65,161,0,961,392,39,10,73,94,32,-67,163,34,250,0.44,0.51,0.52,-13.76,-14.97,3730,3785,3550,3800,3990,4035,2600,1,1,1,1,96,48,-0.02,0,-0.02,-0.01,0,-0.01,-0.17,0,-0.17,-0.24,-0.01,-0.25,-0.18,-0.04,-0.22,84,224,1.43918,374,0,917,462,1,0,0,0,0,1032,0,0,0,1,0,20201116,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,-60.5,-61.9,14.2,-3.2,0,89,78,-2,1,1,0,1,0,1,1,1,0,6,5.5,-6.7,8.2,3.9,-6.2,0,0,-11.5,3.4,10.1,-35.5,-4.9,0,3.4,17.2,-15.9,-36.7,52.3,0,36,11.5,32,42.4,-27.7,0,0,-22.1,-7.6,162.2,220.2,-26.6,0,996.2,49.4,-36.9,-69,151.4,0,187.5,-63.1,-356.3,141.1,-53.3,0,0,29.1,-99.1,177.8,-643,-29.9,0,1390.7,-98.8,6653.8,-172.8,221.8,0,402,25,-16,435,33,-73,452,47,30,424,34,14,0,0,0,0,0,0,119,119,94,102,105,123,104,66,100,0,15,18,4,1,11,17,11,3,8,0,9,14,3,-1,11,0,9,-6,8,0,100,8,8,0,0,0,
A051390,YW,유통,유통,코스닥,3805,432,1136,274,24.1,0,0.9,0.1,8.3,2.6,0.7,4.2,8.4,-3.8,6.42,42.3,56.21,13.6,20.23,26.06,0,16.76,19.33,2.8,4.02,0,2.52,0,8.14,8.15,2.47,2.5,0,8.94,1.29,0.51,0.62,0.6,0.6,22,11.31,17.89,14.9,14.94,0,0,8.29,14.59,12.34,64.81,240,241.31,61,61,28,22.76,1.31,-38.18,2.95,0,1.31,0.02393,0.7344,438,714,718,3,419,0,1152,173,35,29,35,74,53,-44,-23,0,50,2.49,1.31,1.19,90.82,109.69,3515,3710,3780,3650,3510,4065,2560,1,1,1,1,94,49,0,-0.01,-0.01,0,0,0,0,0,0,-0.24,-0.11,-0.35,1.04,-0.22,0.82,47,118,0.46481,130,0,452,462,1,0,0,0,0,2925,0,0,0,1,0,20201116,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6,54,20.9,3.9,1.2,0,63,11,53,1,1,1,1,0,0,1,1,0,6,-34.9,-20.6,-10.5,11.4,-34.7,0,0,-19.1,-34.6,3.3,-34.9,-6.2,0,-26.3,21.5,6.2,-31.5,6.2,0,-30,8.5,5,-21.4,-15.2,0,0,-5.9,-42.8,2.3,24.7,120.1,0,-40.2,41.8,53.7,-4.2,5.5,0,-23.1,22.4,11.5,-24.1,-9.1,0,0,56.3,-48.9,25.1,45.8,152.8,0,-47.1,42.3,129.2,-15.4,-8.4,0,295,40,26,264,42,29,294,33,22,192,28,20,0,0,0,0,0,0,49,74,50,54,40,48,51,35,37,0,5,11,9,7,4,6,10,9,10,0,2,8,7,5,3,4,9,8,7,0,37,10,7,0,0,0,
A012620,원일특강,철강 및 비철강,제강,코스닥,8780,386,440,0,0,0,0.5,0.5,3.9,2.7,1.6,3.1,0.9,-12.2,8.02,7.5,6.96,3.5,2.5,1.52,0,3.63,0.66,6.1,7.21,0,3.79,0,2.17,2.43,0.16,0.16,0,1.42,0.64,0.24,0.43,0.32,0.32,6.8,4.44,4.24,4.44,26.73,0,0,10.71,5.68,6.43,100,120,169.71,91,91,72,6.64,1.71,76.47,1.67,0.7,1.71,0.02133,0.56029,1095,1203,1481,432,70,24,2298,2398,60,87,93,183,178,127,-134,19,150,0.58,0.78,0.66,-25.24,-12.32,8450,8550,8640,8520,8700,10000,5080,0,1,1,1,88,73,0,0.01,0.01,0.01,0.02,0.03,0.04,0.01,0.05,0.09,-0.17,-0.08,-2.05,0.18,-1.87,50,133,0.83405,56,0,107,462,1,0,0,0,0,15785,0,0,0,1,0,20201116,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,93.1,70.5,1.1,7.5,0,117,69,159,1,1,1,1,1,1,1,0,0,7,23.9,-5.2,13.4,9.4,0,0,0,-6.3,4.7,1.2,-15.7,-9.6,0,-13.7,4.7,1.1,-7.8,-7.5,0,24.3,-28,24.3,3.3,-3.2,0,0,-51.1,62.6,-23.2,-63.4,-49.4,0,-44.5,38.9,-19.1,-41.3,-23.3,0,90.4,83.3,38.5,-6.9,47.8,0,0,-75.6,1119.2,-46.1,-4.4,-51.2,0,-61.6,665.5,-84.6,111,-80.4,0,2064,74,52,2340,92,72,2559,95,67,2558,92,99,0,0,0,0,0,0,642,602,629,697,602,630,637,587,544,0,33,14,24,29,16,23,18,11,8,0,30,5,16,19,7,57,9,18,4,0,544,8,4,0,0,0,
A025880,케이씨피드,식음료,사료,코스닥,2200,368,1672,93,5.6,0,0.7,-1.3,5,6.8,7.3,5.5,-3.9,0.7,8.97,14,14.29,1,-1.94,1.5,0,-8.97,2.02,0.4,-11.36,0,-5.87,0,9.36,16.73,0.56,0.55,0,-4.29,1.76,0.34,0.85,0.7,0.7,108.7,-5.79,-5.92,-6.13,27.38,0,0,89.78,-23.53,-28.31,-0.54,104,124.55,95,95,81,0,0.68,-54.07,2.76,0.61,0.68,0.03544,1.152,498,525,496,83,269,0,1023,669,-13,-60,6,92,39,-26,-22,17,15,1.8,2.48,4.14,-27.16,-56.43,2095,2060,2050,2085,2290,2650,1055,0,0,1,1,83,109,0,-0.03,-0.03,0.01,-0.29,-0.28,0.03,0.87,0.9,-0.29,0.73,0.44,0,1.14,1.14,40,206,-3.90207,-53,0,1931,462,1,0,0,0,0,-4129,0,0,0,1,0,20201113,0,0,0,0,0,0,0,0,0,0,0,0,0,-283,-574.6,-654.5,-7.4,-10.6,0,101,54,22,0,1,0,1,0,0,1,0,1,4,-20.4,4.5,-1.4,-20.1,0.9,0,0,4.5,1.8,5.5,2.2,8.9,0,-5.4,12.8,-4,-0.3,0.9,0,-189.5,-292,52.6,-86.2,-525,0,0,80.9,-563.8,454.8,-17.5,536.8,0,-121.2,-3342.1,111.9,-4.7,12.2,0,-912.5,-595.5,750,-85.3,-750,0,0,187.1,-1022.9,407.9,-22.2,232.7,0,-64.4,-6953.5,105.6,-42.7,52,0,808,19,8,797,29,68,637,4,10,643,-17,-65,0,0,0,0,0,0,146,169,157,161,153,172,165,165,166,0,-3,4,0,3,-1,-20,2,2,2,0,-1,8,1,3,1,-69,4,2,3,0,166,2,3,0,0,0,
